Justificativas de conexões no grafo (baseadas em palavras-chave YAKE):

Conexão entre 5 e 1168 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 1184 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1190 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1195 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 1208 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1264 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1269 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 1274 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1310 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1329 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 1339 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1369 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1374 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1380 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 1412 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1431 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 1438 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 1441 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1495 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 1498 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1517 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 1520 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1526 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 1532 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 1540 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 1542 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1544 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1645 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1656 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 1670 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1683 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1696 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1721 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1734 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 1756 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1777 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1787 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1789 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 1804 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1808 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1812 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1819 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1891 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1900 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1902 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1911 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 1932 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1950 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 1953 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1983 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 2003 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 2031 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 2033 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 2035 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 2063 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 6 e 137 - Palavras-chave em comum: Câmara aprova projeto
Conexão entre 6 e 331 - Palavras-chave em comum: Câmara aprova projeto
Conexão entre 8 e 11 - Palavras-chave em comum: Jair Bolsonaro
Conexão entre 8 e 15 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 8 e 16 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 8 e 21 - Palavras-chave em comum: Jair Bolsonaro, presidente Jair Bolsonaro
Conexão entre 8 e 22 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 8 e 26 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 8 e 33 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 8 e 46 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 8 e 57 - Palavras-chave em comum: Jair Bolsonaro
Conexão entre 8 e 59 - Palavras-chave em comum: Jair Bolsonaro
Conexão entre 8 e 72 - Palavras-chave em comum: Jair Bolsonaro, presidente Jair Bolsonaro
